label,label_numeric,subject,body,combined_text
Phishing,1,Account suspension notice,Your account has been flagged for suspicious activity. Click here to prevent suspension: http://account-verify.com/secure,Account suspension notice Your account has been flagged for suspicious activity. Click here to prevent suspension: http://account-verify.com/secure
Phishing,1,"You won $1,000,000!",Congratulations! You have won a prize. Click this link to claim your money: http://scam.com/claim,"You won $1,000,000! Congratulations! You have won a prize. Click this link to claim your money: http://scam.com/claim"
Phishing,1,Congratulations! You're a winner!,"You've been selected to receive $50,000! Claim your prize now: http://prize-winner.com/claim","Congratulations! You're a winner! You've been selected to receive $50,000! Claim your prize now: http://prize-winner.com/claim"
Phishing,1,Free gift card - Claim now!,You've been selected for a free $500 gift card! Claim it here: http://scam-gift.com/claim,Free gift card - Claim now! You've been selected for a free $500 gift card! Claim it here: http://scam-gift.com/claim
Phishing,1,You've won an iPhone!,Congratulations! You won our latest iPhone. Click here to claim: http://free-phone.com/win,You've won an iPhone! Congratulations! You won our latest iPhone. Click here to claim: http://free-phone.com/win
Phishing,1,Password reset required,Your password needs to be reset. Please click here to update: http://phishing-site.com/reset,Password reset required Your password needs to be reset. Please click here to update: http://phishing-site.com/reset
Phishing,1,Reset your password immediately,We noticed unusual activity. Reset your password now: http://reset-password.com/urgent,Reset your password immediately We noticed unusual activity. Reset your password now: http://reset-password.com/urgent
Phishing,1,Password change notification,"Your password was changed. If this wasn't you, click here: http://secure-account.com/verify","Password change notification Your password was changed. If this wasn't you, click here: http://secure-account.com/verify"
Phishing,1,Account verification needed,Verify your account to continue using our services. Click here: http://verify-account.com/now,Account verification needed Verify your account to continue using our services. Click here: http://verify-account.com/now
Phishing,1,Payment confirmation needed,Your payment is pending. Please confirm your account details by clicking here: http://fake-payment.com,Payment confirmation needed Your payment is pending. Please confirm your account details by clicking here: http://fake-payment.com
Phishing,1,Your invoice is ready,Download your invoice here: http://malicious-link.com/invoice. Please pay immediately.,Your invoice is ready Download your invoice here: http://malicious-link.com/invoice. Please pay immediately.
Phishing,1,Payment failed - Update required,Your payment method failed. Update your billing information here: http://update-payment.com/billing,Payment failed - Update required Your payment method failed. Update your billing information here: http://update-payment.com/billing
Phishing,1,Invoice #INV-12345,Please review and pay your invoice. Click here to view: http://invoice-pay.com/view,Invoice #INV-12345 Please review and pay your invoice. Click here to view: http://invoice-pay.com/view
Phishing,1,Update your payment information,Your payment method expired. Update it here: http://fake-update.com/payment,Update your payment information Your payment method expired. Update it here: http://fake-update.com/payment
Phishing,1,Security alert: Unusual activity detected,We detected suspicious activity on your account. Verify your identity immediately: http://scam-site.com/verify,Security alert: Unusual activity detected We detected suspicious activity on your account. Verify your identity immediately: http://scam-site.com/verify
Phishing,1,Security breach detected,We detected unauthorized access to your account. Secure it now: http://secure-now.com/breach,Security breach detected We detected unauthorized access to your account. Secure it now: http://secure-now.com/breach
Phishing,1,Login from new device,We noticed a login from a new device. Verify it's you: http://verify-device.com/login,Login from new device We noticed a login from a new device. Verify it's you: http://verify-device.com/login
